"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"tern1247",0.181818181818182,-0.943478088951918,"tft",0.25,-0.681858583242202,TRUE,42000,219.320277425111,NA,NA,NA
"tete1251",0.538461538461538,1.59212537107861,"nhg",0.384615384615385,0.973175127711826,FALSE,3500,95.0395457558334,0,0,0
"tetu1246",0.12962962962963,-1.31451955387287,"tdt",0.319148936170213,0.16829551144239,FALSE,NA,51.5714298561215,0,0,0
"tezo1238",0.26,-0.387634036341304,"mxb",0.422222222222222,1.43553375172438,FALSE,5080,139.94822791405,0,0,0
"thad1238",0.452830188679245,0.983317881045385,"tcz",0.490196078431372,2.27124078336204,FALSE,269200,3968.49791887775,0,0,0
"thak1245",0.181818181818182,-0.943478088951918,"ths",0.188679245283019,-1.43576881815118,FALSE,5240,525.791264748201,0,0,0
"than1259",0.34,0.181136622143976,"thf",0.274509803921569,-0.380521913180544,FALSE,23700,851.918090283871,0,0,0
"thao1240",0.226415094339623,-0.62641039768654,"ssf",0.176470588235294,-1.58586859342718,FALSE,5,0.101661883294582,0,0,0
"thul1246",0.346938775510204,0.23046877109423,"tdh",0.3125,0.0865499254150249,FALSE,20700,384.57541882433,0,0,0
"tibe1272",0.309090909090909,-0.0386156777253368,"bod",0.351851851851852,0.570362690125131,FALSE,1159750,446573.969168594,0,0,0
"ticu1245",0.41304347826087,0.700448962500101,"tca",0.348837209302326,0.533299058355273,FALSE,47200,30774.8958005265,0,0,0
"tief1242",0.166666666666667,-1.05119980457413,"tiq",0.288888888888889,-0.203737733411039,FALSE,1000,0.0800007489742711,0,0,0
"tiga1245",0.166666666666667,-1.05119980457413,"tgc",0.297872340425532,-0.0932903638451774,TRUE,6000,552.528455892578,30019.1670348989,30019.1670348989,1244767.3118495
"tigo1236",0.208333333333333,-0.754965086613047,"nza",0.215686274509804,-1.10372992132852,FALSE,56000,1361.65214119758,0,0,0
"tika1246",0.425925925925926,0.792038440517055,"tik",0.313725490196078,0.101616758918108,FALSE,25000,7060.97493747144,0,0,0
"tiko1237",0.196078431372549,-0.842092944836895,"tkp",0.416666666666667,1.36723077317707,TRUE,3320,3.98509792797267,1002672.4048106,1002672.4048106,2207363.56582762
"timn1235",0.557692307692308,1.72884908706065,"tem",0.333333333333333,0.342686094967434,FALSE,1230000,17695.3996175049,0,0,0
"timu1262",0.346938775510204,0.23046877109423,"tih",0.311111111111111,0.0694741807781977,FALSE,0,826.385074015707,0,0,0
"tiri1258",0.148148148148148,-1.1828596792235,"cir",0.26530612244898,-0.493676907652677,FALSE,600,683.942338932306,0,0,0
"tita1241",0.0754716981132075,-1.69956258350782,"ttv",0.26530612244898,-0.493676907652677,TRUE,3850,17.2599864397198,273605.765231849,273605.765231849,1037327.41263948
"toab1237",0.254545454545455,-0.426413853965301,"mlu",0.320754716981132,0.188037841652772,TRUE,12600,102.754969723523,986811.623114752,986811.623114752,1788741.37338826
"toar1246",0.109090909090909,-1.46054232393854,"tqo",0.22,-1.05069466739767,FALSE,23000,2035.03705405537,0,0,0
"toba1268",0.454545454545454,0.9955127922479,"tmf",0.39622641509434,1.11592736154074,FALSE,1680,1661.09906745423,0,0,0
"tobe1252",0.30188679245283,-0.0898343047758981,"tlb",0.346938775510204,0.509958695491456,FALSE,27700,3774.51998965273,0,0,0
"toho1245",0.309090909090909,-0.0386156777253368,"ood",0.24,-0.804803944627359,FALSE,14094,15573.8374109082,0,0,0
"tojo1241",0.4,0.607714616007936,"toj",0.259259259259259,-0.568020285663354,FALSE,34300,311.918465862051,0,0,0
"toke1240",0.333333333333333,0.133739067270203,"tkl",0.403846153846154,1.20960851499097,TRUE,1410,0.610833257436752,2663066.52697254,2663066.52697254,4102791.38762237
"tokp1240",0.0555555555555556,-1.84115905247035,"tpi",0.224489795918367,-0.995494709224744,FALSE,122000,29403.8235950619,0,0,0
"tomm1242",0.333333333333333,0.133739067270203,"dto",0.32,0.178758946453892,FALSE,NA,NA,0,0,0
"tond1249",0.106382978723404,-1.47979471566676,"tst",0.163265306122449,-1.74822141158284,FALSE,NA,NA,0,0,0
"tong1308",0.166666666666667,-1.05119980457413,"tnz",0.238095238095238,-0.828222108700722,FALSE,195,2536.66261392925,0,0,0
"tong1318",0.530612244897959,1.5363197727186,"toi",0.244897959183673,-0.744585808438711,FALSE,1467000,91289.242557059,0,0,0
"tong1325",0.153846153846154,-1.14234894856216,"ton",0.409090909090909,1.27409034788529,TRUE,96300,531.124170733616,1697048.20320667,1697048.20320667,3096766.60314694
"tong1329",0.26,-0.387634036341304,"xgf",0.239130434782609,-0.815494845617372,FALSE,NA,NA,0,0,0
"tonk1249",0.54,1.60306326835718,"tqw",0.441860465116279,1.67697683868231,FALSE,0,98804.0781022869,0,0,0
"toor1238",0.5,1.31867793911454,"ttj",0.333333333333333,0.342686094967434,FALSE,488000,10261.2318417157,0,0,0
"torr1261",0.145454545454545,-1.20201020644523,"tcs",0.294117647058824,-0.139452577131218,FALSE,6040,1735461.33504877,0,0,0
"tosk1239",0.433962264150943,0.849173857817725,"als",0.375,0.854958434072252,FALSE,1580000,14998.9851343925,0,0,0
"tote1238",0.518518518518518,1.45033781376391,"ttl",0.434782608695652,1.58995787713569,FALSE,1120,10511.7943022731,0,0,0
"toto1302",0.266666666666667,-0.340236481467531,"txo",0.2,-1.29658539016798,FALSE,1400,629.278900301084,0,0,0
"trio1238",0.418181818181818,0.73698067475459,"tri",0.351851851851852,0.570362690125131,FALSE,2130,1122.16919686412,0,0,0
"trum1247",0.211538461538462,-0.732177800616041,"tpy",0.4,1.16232183753514,FALSE,51,2023.76717061223,0,0,0
"tsam1247",0.388888888888889,0.528718691218314,"tsb",0.288461538461538,-0.208991808683909,FALSE,18000,1352.19702954451,0,0,0
"tsat1238",0,-2.23613867641846,"huq",0.25,-0.681858583242202,FALSE,4000,15.9729721620679,0,0,0
"tsha1245",0.235294117647059,-0.563283798520582,"tsj",0.291666666666667,-0.169586244137384,FALSE,158200,7376.81959925778,0,0,0
